,,,Premature death,,,,,,,Poor or fair health,,,,Poor physical health days,,,,Poor mental health days,,,,Low birthweight,,,,,,,,Adult smoking,,,,Adult obesity,,,,Food environment index,,Physical inactivity,,,,Access to exercise opportunities,,Excessive drinking,,,,Alcohol-impaired driving deaths,,,,,,Sexually transmitted infections,,,Teen births,,,,,,,Uninsured,,,,,Primary care physicians,,,,Dentists,,,,Mental health providers,,,,Preventable hospital stays,,,,,Diabetes monitoring,,,,,,,Mammography screening,,,,,,,High school graduation,,,Some college,,,,,,Unemployment,,,,Children in poverty,,,,,,,Income inequality,,,,Children in single-parent households,,,,,,Social associations,,,Violent crime,,,Injury deaths,,,,,Air pollution - particulate matter,,Drinking water violations,,Severe housing problems,,,,,Driving alone to work,,,,,,,Long commute - driving alone,,,,
FIPS,State,County,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,Years of Potential Life Lost Rate (Black),Years of Potential Life Lost Rate (Hispanic),Years of Potential Life Lost Rate (White),% Fair/Poor,95% CI - Low,95% CI - High,Z-Score,Physically Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Mentally Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Unreliable,% LBW,95% CI - Low,95% CI - High,Z-Score,% LBW (Black),% LBW (Hispanic),% LBW (White),% Smokers,95% CI - Low,95% CI - High,Z-Score,% Obese,95% CI - Low,95% CI - High,Z-Score,Food Environment Index,Z-Score,% Physically Inactive,95% CI - Low,95% CI - High,Z-Score,% With Access,Z-Score,% Excessive Drinking,95% CI - Low,95% CI - High,Z-Score,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Alcohol-Impaired,95% CI - Low,95% CI - High,Z-Score,# Chlamydia Cases,Chlamydia Rate,Z-Score,Teen Birth Rate,95% CI - Low,95% CI - High,Z-Score,Teen Birth Rate (Black),Teen Birth Rate (Hispanic),Teen Birth Rate (White),# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Z-Score,# Primary Care Physicians,PCP Rate,PCP Ratio,Z-Score,# Dentists,Dentist Rate,Dentist Ratio,Z-Score,# Mental Health Providers,MHP Rate,MHP Ratio,Z-Score,# Medicare Enrollees,Preventable Hosp. Rate,95% CI - Low,95% CI - High,Z-Score,# Diabetics,% Receiving HbA1c,95% CI - Low,95% CI - High,Z-Score,% Receiving HbA1c (Black),% Receiving HbA1c (White),# Medicare Enrollees,% Mammography,95% CI - Low,95% CI - High,Z-Score,% Mammography (Black),% Mammography (White),Cohort Size,Graduation Rate,Z-Score,# Some College,Population,% Some College,95% CI - Low,95% CI - High,Z-Score,# Unemployed,Labor Force,% Unemployed,Z-Score,% Children in Poverty,95% CI - Low,95% CI - High,Z-Score,% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score,# Single-Parent Households,# Households,% Single-Parent Households,95% CI - Low,95% CI - High,Z-Score,# Associations,Association Rate,Z-Score,# Violent Crimes,Violent Crime Rate,Z-Score,# Injury Deaths,Injury Death Rate,95% CI - Low,95% CI - High,Z-Score,Average Daily PM2.5,Z-Score,Presence of violation,Z-Score,# Households with Severe Problems,% Severe Housing Problems,95% CI - Low,95% CI - High,Z-Score,% Drive Alone,95% CI - Low,95% CI - High,Z-Score,% Drive Alone (Black),% Drive Alone (Hispanic),% Drive Alone (White),# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low,95% CI - High,Z-Score
06000,California,,5217,5192,5242,,,,,18,17,18,,3.5,3.3,3.7,,3.5,3.4,3.7,,,7,7,7,,,,,11,10,12,,23,,,,8.8,,18,,,,90,,18,17,19,,4764,16185,29,29,30,,189170,488,,24,24,24,,,,,3234373,10,10,10,,30551,78,1281:1,,32322,82,1214:1,,120971,308,324:1,,1907116,36,36,36,,242940,82,81,82,,1,1,205410,59.7,59.3,60.0,,51.2,60.0,488612,82,,6901492,10860198,63.5,63.4,63.7,,1037687,19102734,5.4,,20,20,20,,,,,132228,25308,5.2,,2884756,9060226,32,32,32,,22603,5.8,,156261,407,,92179,48,47,48,,8.0,,,,3517945,28,28,28,,73,73,74,,,,,12636396,39,39,40,
06001,California,Alameda,4660,4544,4776,-0.93,10462,4005,4630,13,12,13,-0.98,3.1,3.0,3.1,-1.52,3.3,3.3,3.4,-1.34,,7,7,7,1.20,11,6,6,11,10,11,-0.98,19,17,21,-1.49,8.1,-0.48,17,15,18,-0.65,98,-1.19,20,19,20,0.54,113,405,28,25,30,-0.40,8132,505,0.88,15,15,15,-1.01,27,28,5,84805,6,6,7,-1.45,1719,105,953:1,-1.14,1505,91,1095:1,-0.75,9066,550,182:1,-1.47,72323,35,33,36,-0.27,8658,81,79,83,0.27,68,83,7348,61.3,59.5,63.1,-0.20,55.6,62.1,16752,85,-0.19,365196,494670,73.8,,,-1.36,35530,837917,4.2,-0.81,12,11,14,-1.04,32,22,6,160940,30257,5.3,0.84,92539,341119,27,26,28,-0.69,1044,6.4,0.21,11332,720,2.04,3436,43,41,44,-1.03,9.0,0.12,No,-1.82,133870,24,24,25,0.04,63,62,63,-1.41,67,68,69,461148,44,44,45,1.19
06003,California,Alpine,,,,,,,,17,16,18,,4.1,4.0,4.3,,4.4,4.2,4.5,,,,,,,,,,15,14,15,,23,17,29,,6.7,,19,13,25,,100,,17,17,18,,1,11,9,0,28,,,,,,,,,,,,83,10,8,11,,0,0,1110:0,,0,0,1071:0,,5,467,214:1,,,,,,,16,88,42,100,,,,,,,,,,,,,,152,238,63.9,51.5,76.3,,36,556,6.5,,34,25,43,,,,,117250,18912,6.2,,71,274,26,10,42,,1,9.0,,6,530,,,,,,,4.9,,Yes,,95,25,13,37,,63,49,77,,,,,253,44,15,74,
06005,California,Amador,6214,5183,7244,-0.09,,4130,6746,13,13,14,-0.88,3.3,3.2,3.5,-0.82,3.6,3.4,3.8,-0.59,,7,6,8,1.20,,8,7,11,11,12,-0.78,25,19,32,0.31,7.9,-0.23,18,13,25,-0.07,88,-0.58,19,18,20,0.29,8,39,21,12,30,-1.18,65,177,-1.40,19,16,23,-0.61,,29,17,1688,7,6,8,-1.02,21,57,1762:1,0.45,28,75,1335:1,-0.06,73,195,512:1,0.74,5250,39,33,44,0.09,609,85,77,92,-0.83,,,668,66.6,60.4,72.8,-1.17,,,325,89,-0.46,4379,7467,58.6,52.2,65.1,0.12,862,14646,5.9,-0.31,17,12,21,-0.45,,25,17,101275,23338,4.3,-0.78,1769,5581,32,24,39,0.02,34,9.2,-0.87,104,279,-0.81,169,92,78,105,0.69,7.9,-0.31,Yes,0.54,2960,21,18,24,-0.83,80,77,83,0.82,,77,82,9777,39,35,44,0.70
06007,California,Butte,7286,6881,7690,0.49,7920,4830,7665,16,16,17,-0.09,4.0,3.9,4.2,0.76,4.1,4.0,4.3,1.06,,6,6,6,-0.72,11,6,6,14,14,15,0.90,25,21,30,0.33,6.8,1.16,20,16,24,0.60,73,0.23,19,18,20,0.15,48,137,35,31,39,0.34,1133,505,0.88,21,19,22,-0.49,39,23,18,14769,8,7,9,-0.43,139,62,1622:1,0.29,162,71,1400:1,0.09,1286,567,176:1,-1.57,27591,40,38,43,0.27,3808,78,75,81,1.07,74,78,3247,60.3,57.7,63.0,-0.03,44.8,60.5,2408,86,-0.29,34653,50572,68.5,65.9,71.2,-0.84,6693,102319,6.5,-0.10,23,18,28,0.37,32,32,17,93322,17637,5.3,0.80,14820,44827,33,30,36,0.24,172,7.6,-0.27,665,299,-0.68,1027,92,86,97,0.70,8.1,-0.24,No,-1.82,19710,23,22,24,-0.29,75,73,77,0.18,69,74,76,66047,23,21,24,-0.87
06009,California,Calaveras,7306,6223,8389,0.50,,5248,7919,13,12,13,-0.94,3.4,3.3,3.6,-0.60,3.7,3.5,3.9,-0.33,,5,4,6,-2.08,,4,5,12,11,12,-0.40,26,21,32,0.45,8.0,-0.35,19,14,26,0.40,76,0.09,18,18,19,-0.24,19,45,42,35,49,1.09,62,139,-1.66,15,13,18,-0.98,,13,16,2352,7,6,8,-0.90,22,49,2038:1,0.71,20,44,2259:1,1.23,69,153,655:1,1.00,6692,28,24,33,-0.86,790,83,77,90,-0.38,,,813,64.3,58.8,69.8,-0.75,,,550,94,-0.84,4585,7822,58.6,51.8,65.5,0.12,1177,20914,5.6,-0.39,20,15,26,0.03,,23,13,114493,23073,5.0,0.25,2955,7915,37,29,45,0.91,37,8.3,-0.51,115,256,-0.96,213,95,82,108,0.82,7.8,-0.35,Yes,0.54,3775,20,18,23,-1.10,78,75,81,0.54,,80,70,12473,56,50,63,2.32
06011,California,Colusa,5747,4616,6878,-0.34,,4415,7183,19,19,20,0.70,3.9,3.7,4.1,0.45,3.9,3.7,4.1,0.23,,7,6,8,0.11,,7,6,12,12,13,-0.07,27,20,35,0.73,8.4,-0.86,19,13,26,0.09,70,0.39,18,18,19,-0.17,1,31,3,0,13,-2.99,61,285,-0.65,33,29,38,0.71,,38,22,2250,12,11,14,1.64,8,37,2685:1,1.10,8,37,2699:1,1.54,38,176,568:1,0.86,1916,54,43,64,1.52,335,88,78,98,-1.88,,,209,60.3,49.8,70.8,-0.02,,,315,91,-0.67,2585,5298,48.8,42.7,54.9,1.08,1691,10887,15.5,2.67,16,11,20,-0.62,,22,10,97299,26255,3.7,-1.83,1821,5918,31,23,39,-0.12,16,7.4,-0.20,43,200,-1.32,82,76,61,95,0.16,7.1,-0.63,No,-1.82,1360,20,16,23,-1.27,77,74,80,0.38,,73,82,6858,32,27,37,0.01
06013,California,Contra Costa,4703,4558,4848,-0.91,10015,3948,4743,12,12,12,-1.11,3.2,3.1,3.3,-1.26,3.4,3.3,3.5,-1.17,,7,7,7,0.60,11,6,6,10,10,11,-1.09,24,21,27,0.00,8.3,-0.73,18,16,20,-0.26,89,-0.64,16,16,17,-1.46,83,310,27,24,30,-0.52,4697,423,0.30,14,14,15,-1.07,23,26,5,62229,7,6,7,-1.21,1125,100,1002:1,-0.97,960,85,1182:1,-0.47,3500,308,324:1,0.03,55521,35,34,37,-0.21,6084,82,79,84,0.09,77,82,5908,63.6,61.6,65.6,-0.62,56.3,64.2,13205,89,-0.51,201635,287956,70.0,,,-0.99,24639,556454,4.4,-0.76,10,9,12,-1.32,27,20,6,164427,34453,4.8,-0.06,67927,258242,26,25,28,-0.82,610,5.4,0.57,3998,366,-0.25,2517,45,44,47,-0.94,7.7,-0.39,Yes,0.54,84755,22,22,23,-0.52,68,68,69,-0.69,74,70,77,345636,49,48,50,1.60
06015,California,Del Norte,8128,6973,9283,0.94,,,,18,17,18,0.21,4.0,3.9,4.2,0.78,4.1,3.9,4.2,0.84,,5,4,6,-1.69,,5,5,15,15,16,1.43,25,18,32,0.08,6.2,1.92,19,13,25,0.17,78,-0.02,19,19,20,0.33,10,52,19,12,27,-1.31,94,345,-0.23,50,44,56,2.25,,55,41,1610,8,7,9,-0.42,18,66,1514:1,0.15,22,80,1252:1,-0.27,104,378,265:1,-0.40,2947,33,26,40,-0.43,480,89,81,98,-2.12,,,350,57.4,49.5,65.4,0.50,,,404,35,3.45,3224,7418,43.5,37.6,49.4,1.60,731,9806,7.5,0.18,30,22,38,1.32,,38,13,83322,15445,5.4,0.97,2531,5719,44,35,54,2.00,17,6.2,0.26,165,582,1.15,150,109,91,126,1.30,5.8,-1.14,Yes,0.54,2380,25,21,29,0.24,74,69,79,0.04,,74,78,6215,9,6,13,-2.14
