,,,Premature death,,,,,,,Poor or fair health,,,,Poor physical health days,,,,Poor mental health days,,,,Low birthweight,,,,,,,,Adult smoking,,,,Adult obesity,,,,Food environment index,,Physical inactivity,,,,Access to exercise opportunities,,Excessive drinking,,,,Alcohol-impaired driving deaths,,,,,,Sexually transmitted infections,,,Teen births,,,,,,,Uninsured,,,,,Primary care physicians,,,,Dentists,,,,Mental health providers,,,,Preventable hospital stays,,,,,Diabetes monitoring,,,,,,,Mammography screening,,,,,,,High school graduation,,,Some college,,,,,,Unemployment,,,,Children in poverty,,,,,,,Income inequality,,,,Children in single-parent households,,,,,,Social associations,,,Violent crime,,,Injury deaths,,,,,Air pollution - particulate matter,,Drinking water violations,,Severe housing problems,,,,,Driving alone to work,,,,,,,Long commute - driving alone,,,,
FIPS,State,County,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,Years of Potential Life Lost Rate (Black),Years of Potential Life Lost Rate (Hispanic),Years of Potential Life Lost Rate (White),% Fair/Poor,95% CI - Low,95% CI - High,Z-Score,Physically Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Mentally Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Unreliable,% LBW,95% CI - Low,95% CI - High,Z-Score,% LBW (Black),% LBW (Hispanic),% LBW (White),% Smokers,95% CI - Low,95% CI - High,Z-Score,% Obese,95% CI - Low,95% CI - High,Z-Score,Food Environment Index,Z-Score,% Physically Inactive,95% CI - Low,95% CI - High,Z-Score,% With Access,Z-Score,% Excessive Drinking,95% CI - Low,95% CI - High,Z-Score,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Alcohol-Impaired,95% CI - Low,95% CI - High,Z-Score,# Chlamydia Cases,Chlamydia Rate,Z-Score,Teen Birth Rate,95% CI - Low,95% CI - High,Z-Score,Teen Birth Rate (Black),Teen Birth Rate (Hispanic),Teen Birth Rate (White),# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Z-Score,# Primary Care Physicians,PCP Rate,PCP Ratio,Z-Score,# Dentists,Dentist Rate,Dentist Ratio,Z-Score,# Mental Health Providers,MHP Rate,MHP Ratio,Z-Score,# Medicare Enrollees,Preventable Hosp. Rate,95% CI - Low,95% CI - High,Z-Score,# Diabetics,% Receiving HbA1c,95% CI - Low,95% CI - High,Z-Score,% Receiving HbA1c (Black),% Receiving HbA1c (White),# Medicare Enrollees,% Mammography,95% CI - Low,95% CI - High,Z-Score,% Mammography (Black),% Mammography (White),Cohort Size,Graduation Rate,Z-Score,# Some College,Population,% Some College,95% CI - Low,95% CI - High,Z-Score,# Unemployed,Labor Force,% Unemployed,Z-Score,% Children in Poverty,95% CI - Low,95% CI - High,Z-Score,% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score,# Single-Parent Households,# Households,% Single-Parent Households,95% CI - Low,95% CI - High,Z-Score,# Associations,Association Rate,Z-Score,# Violent Crimes,Violent Crime Rate,Z-Score,# Injury Deaths,Injury Death Rate,95% CI - Low,95% CI - High,Z-Score,Average Daily PM2.5,Z-Score,Presence of violation,Z-Score,# Households with Severe Problems,% Severe Housing Problems,95% CI - Low,95% CI - High,Z-Score,% Drive Alone,95% CI - Low,95% CI - High,Z-Score,% Drive Alone (Black),% Drive Alone (Hispanic),% Drive Alone (White),# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low,95% CI - High,Z-Score
12000,Florida,,6803,6760,6846,,,,,19,18,19,,3.8,3.6,4.0,,3.8,3.6,4.0,,,9,9,9,,,,,15,15,16,,26,,,,6.7,,24,,,,87,,18,17,18,,3542,13440,26,26,27,,90468,455,,25,25,25,,,,,2602192,16,16,17,,14728,73,1376:1,,11883,58,1735:1,,29306,142,703:1,,1506764,54,53,54,,215670,86,85,86,,1,1,152657,67.9,67.5,68.3,,62.5,68.3,200163,78,,3069064,4966799,61.8,61.5,62.1,,480368,9838942,4.9,,21,21,22,,,,,98580,21048,4.7,,1546295,4020805,38,38,39,,14476,7.1,,97865,500,,72009,72,72,73,,7.4,,,,1552750,22,21,22,,79,79,80,,,,,6874620,40,39,40,
12001,Florida,Alachua,6901,6514,7288,-0.60,11227,2972,6381,19,19,20,0.01,4.4,4.3,4.5,0.24,4.3,4.2,4.4,0.49,,9,9,9,0.47,14,6,7,15,14,15,-0.95,26,23,29,-0.80,6.5,0.62,20,18,23,-1.41,88,-0.80,21,20,21,1.05,54,182,30,26,33,-0.11,2180,850,2.57,15,14,16,-1.54,39,10,8,27103,13,11,14,-0.94,391,150,665:1,-3.83,446,169,591:1,-5.31,1458,553,181:1,-5.69,20378,55,52,58,-0.49,2752,87,84,91,-0.96,87,87,1999,64.9,61.4,68.4,-0.06,66.1,64.7,2185,75,0.15,49672,65606,75.7,72.9,78.6,-1.82,5638,132316,4.3,-0.98,22,17,26,-0.47,45,22,13,97014,15820,6.1,3.02,16392,45492,36,33,40,-0.32,263,10.1,-0.42,1472,579,1.03,775,60,56,65,-1.22,7.5,0.06,Yes,1.07,21935,23,22,24,1.24,75,73,76,-1.24,77,71,77,86245,23,21,24,-1.44
12003,Florida,Baker,7984,6774,9195,-0.04,9037,,7841,20,19,20,0.17,4.3,4.2,4.5,0.05,4.5,4.3,4.6,1.06,,10,9,11,1.18,11,,10,19,19,20,0.43,34,30,39,0.90,6.4,0.76,36,31,40,1.81,35,1.42,18,17,19,-0.01,19,44,43,36,50,1.29,115,425,0.06,49,44,55,1.07,38,,52,2533,12,10,13,-1.16,12,44,2285:1,0.36,12,43,2328:1,0.01,25,89,1117:1,0.12,1759,90,76,105,1.37,409,81,72,90,1.12,79,81,210,56.7,46.5,66.8,1.17,,,297,82,-0.61,2998,6944,43.2,36.7,49.6,0.61,557,11393,4.9,-0.28,24,17,30,-0.17,21,,26,94629,22962,4.1,-0.75,2179,6411,34,26,42,-0.67,25,9.1,-0.05,98,360,-0.29,97,71,58,87,-0.62,7.6,0.18,No,-0.92,1400,17,13,21,-0.35,86,82,89,1.44,,,,8594,51,44,58,1.29
12005,Florida,Bay,9478,8975,9981,0.74,11832,5508,9515,19,18,19,-0.16,4.2,4.1,4.4,-0.11,4.2,4.0,4.3,0.15,,8,8,9,-0.12,14,7,7,18,18,19,0.01,30,27,33,0.05,6.6,0.49,27,24,30,-0.08,76,-0.27,20,19,20,0.61,46,150,31,27,35,0.00,855,478,0.38,43,41,46,0.62,54,41,42,20566,14,12,15,-0.61,92,51,1974:1,0.09,88,48,2091:1,-0.19,421,229,437:1,-1.62,16845,60,56,64,-0.22,2950,78,75,81,2.22,74,78,1878,61.2,57.7,64.8,0.49,50.0,61.8,1946,71,0.63,28332,46638,60.7,57.7,63.8,-0.70,4305,87996,4.9,-0.28,23,18,28,-0.30,37,25,20,93258,21702,4.3,-0.42,14189,38175,37,34,41,-0.13,164,9.0,-0.02,886,508,0.60,777,87,81,93,0.28,8.1,0.80,No,-0.92,11975,18,16,19,-0.09,82,81,83,0.53,78,68,83,65994,29,27,31,-0.83
12007,Florida,Bradford,10749,9260,12237,1.40,9588,,11660,20,20,21,0.28,4.6,4.5,4.7,0.62,4.1,3.9,4.2,-0.08,,11,10,12,2.14,16,,9,22,21,22,1.08,36,31,40,1.14,7.2,-0.33,33,29,38,1.30,79,-0.42,17,16,17,-0.53,8,29,28,18,38,-0.32,129,483,0.41,53,47,60,1.38,69,,50,2523,13,12,15,-0.74,10,37,2693:1,0.62,7,26,3847:1,0.73,5,19,5385:1,1.01,2151,106,93,120,2.21,477,84,76,92,0.12,81,85,257,61.1,51.5,70.6,0.51,64.0,60.8,199,78,-0.10,3232,7349,44.0,37.3,50.7,0.55,466,10944,4.3,-0.98,27,20,34,0.25,63,,18,82224,14012,5.9,2.53,2105,5263,40,30,50,0.34,32,11.9,-1.07,123,461,0.32,136,101,84,118,1.06,7.3,-0.19,No,-0.92,1550,18,14,21,-0.14,84,82,86,1.03,,,,7695,51,43,59,1.31
12009,Florida,Brevard,7837,7552,8121,-0.11,9991,5345,7974,16,15,16,-0.92,4.0,3.9,4.1,-0.61,4.2,4.1,4.4,0.36,,8,7,8,-0.74,13,7,7,17,17,18,-0.27,27,24,30,-0.59,6.8,0.22,26,23,28,-0.33,81,-0.51,18,18,19,0.09,95,373,25,23,28,-0.54,1744,313,-0.59,22,21,23,-1.06,34,24,19,58601,14,12,15,-0.68,426,75,1334:1,-0.87,330,57,1755:1,-0.58,845,146,685:1,-0.58,55762,53,52,55,-0.57,8495,86,84,88,-0.63,87,86,5655,68.4,66.2,70.5,-0.57,65.5,68.5,5439,86,-1.06,77422,117780,65.7,63.6,67.9,-1.07,13574,262026,5.2,0.05,22,18,25,-0.48,41,23,16,96643,21931,4.4,-0.21,38313,104142,37,35,39,-0.20,433,7.6,0.50,2865,518,0.66,2520,90,86,93,0.43,6.5,-1.18,Yes,1.07,37085,17,16,17,-0.36,82,81,83,0.54,82,80,83,188773,30,29,31,-0.70
12011,Florida,Broward,5736,5611,5860,-1.20,7100,3584,6414,16,16,17,-0.73,3.7,3.6,3.8,-1.24,3.9,3.8,4.0,-0.63,,9,9,10,0.78,13,7,7,14,14,14,-1.16,25,23,27,-1.04,7.9,-1.28,24,22,26,-0.62,96,-1.12,19,19,19,0.35,179,1006,18,16,19,-1.33,9529,510,0.56,18,18,19,-1.30,30,17,7,261839,17,16,17,0.12,1371,72,1383:1,-0.76,1415,74,1350:1,-1.30,2886,151,662:1,-0.65,82473,52,51,54,-0.63,10062,86,84,88,-0.59,83,87,7340,62.5,60.7,64.4,0.29,57.4,63.3,20319,77,-0.03,333518,501126,66.6,65.5,67.6,-1.14,46241,1004123,4.6,-0.60,18,16,21,-0.97,29,18,10,107259,22446,4.8,0.49,154953,399510,39,37,40,0.14,1037,5.5,1.29,8117,441,0.20,5425,58,57,60,-1.35,7.4,-0.06,Yes,1.07,173835,26,26,27,2.09,79,79,80,-0.08,77,78,81,708764,44,43,45,0.65
12013,Florida,Calhoun,7551,6029,9074,-0.26,,,,24,24,25,1.25,5.1,4.9,5.2,1.55,4.1,4.0,4.3,0.00,,8,7,10,-0.29,11,,8,20,19,21,0.60,39,35,43,1.79,6.8,0.22,33,29,37,1.30,27,1.75,16,15,16,-1.04,4,14,29,14,44,-0.22,52,358,-0.33,52,44,61,1.31,51,,55,1653,16,14,18,0.06,6,41,2410:1,0.45,9,62,1603:1,-0.81,2,14,7212:1,1.07,1091,90,72,108,1.35,226,84,72,96,0.12,81,84,122,61.5,47.6,75.4,0.45,,,162,83,-0.66,1701,3821,44.5,37.4,51.6,0.51,281,4956,5.7,0.59,31,22,40,0.83,19,,9,73353,20000,3.7,-1.60,1060,2999,35,27,44,-0.44,14,9.7,-0.26,19,130,-1.67,48,66,49,87,-0.91,8.2,0.93,No,-0.92,775,16,12,21,-0.48,79,73,86,-0.13,,,,3596,39,31,47,0.14
12015,Florida,Charlotte,7689,7092,8287,-0.19,5776,5447,8119,15,14,15,-1.19,3.8,3.7,4.0,-0.89,4.1,3.9,4.2,-0.22,,8,8,9,-0.07,12,8,8,16,16,17,-0.47,26,23,29,-0.74,6.8,0.22,23,20,26,-0.86,88,-0.78,17,16,17,-0.53,31,112,28,23,33,-0.31,312,185,-1.34,26,24,28,-0.71,24,21,28,17535,17,15,18,0.19,115,66,1505:1,-0.53,88,49,2028:1,-0.26,188,105,949:1,-0.08,27066,48,45,50,-0.87,3901,87,85,90,-1.05,90,87,2911,76.4,73.2,79.6,-1.77,71.8,76.5,1377,76,0.07,13693,25409,53.9,50.0,57.8,-0.19,3687,69152,5.3,0.21,23,18,29,-0.24,29,22,18,85064,21093,4.0,-0.91,7885,21851,36,31,41,-0.31,115,6.6,0.86,361,219,-1.13,577,68,63,74,-0.79,6.7,-0.93,Yes,1.07,12320,17,16,19,-0.20,79,77,80,-0.27,79,81,78,43924,31,28,33,-0.65
