,,,Premature death,,,,,,,Poor or fair health,,,,Poor physical health days,,,,Poor mental health days,,,,Low birthweight,,,,,,,,Adult smoking,,,,Adult obesity,,,,Food environment index,,Physical inactivity,,,,Access to exercise opportunities,,Excessive drinking,,,,Alcohol-impaired driving deaths,,,,,,Sexually transmitted infections,,,Teen births,,,,,,,Uninsured,,,,,Primary care physicians,,,,Dentists,,,,Mental health providers,,,,Preventable hospital stays,,,,,Diabetes monitoring,,,,,,,Mammography screening,,,,,,,High school graduation,,,Some college,,,,,,Unemployment,,,,Children in poverty,,,,,,,Income inequality,,,,Children in single-parent households,,,,,,Social associations,,,Violent crime,,,Injury deaths,,,,,Air pollution - particulate matter,,Drinking water violations,,Severe housing problems,,,,,Driving alone to work,,,,,,,Long commute - driving alone,,,,
FIPS,State,County,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,Years of Potential Life Lost Rate (Black),Years of Potential Life Lost Rate (Hispanic),Years of Potential Life Lost Rate (White),% Fair/Poor,95% CI - Low,95% CI - High,Z-Score,Physically Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Mentally Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Unreliable,% LBW,95% CI - Low,95% CI - High,Z-Score,% LBW (Black),% LBW (Hispanic),% LBW (White),% Smokers,95% CI - Low,95% CI - High,Z-Score,% Obese,95% CI - Low,95% CI - High,Z-Score,Food Environment Index,Z-Score,% Physically Inactive,95% CI - Low,95% CI - High,Z-Score,% With Access,Z-Score,% Excessive Drinking,95% CI - Low,95% CI - High,Z-Score,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Alcohol-Impaired,95% CI - Low,95% CI - High,Z-Score,# Chlamydia Cases,Chlamydia Rate,Z-Score,Teen Birth Rate,95% CI - Low,95% CI - High,Z-Score,Teen Birth Rate (Black),Teen Birth Rate (Hispanic),Teen Birth Rate (White),# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Z-Score,# Primary Care Physicians,PCP Rate,PCP Ratio,Z-Score,# Dentists,Dentist Rate,Dentist Ratio,Z-Score,# Mental Health Providers,MHP Rate,MHP Ratio,Z-Score,# Medicare Enrollees,Preventable Hosp. Rate,95% CI - Low,95% CI - High,Z-Score,# Diabetics,% Receiving HbA1c,95% CI - Low,95% CI - High,Z-Score,% Receiving HbA1c (Black),% Receiving HbA1c (White),# Medicare Enrollees,% Mammography,95% CI - Low,95% CI - High,Z-Score,% Mammography (Black),% Mammography (White),Cohort Size,Graduation Rate,Z-Score,# Some College,Population,% Some College,95% CI - Low,95% CI - High,Z-Score,# Unemployed,Labor Force,% Unemployed,Z-Score,% Children in Poverty,95% CI - Low,95% CI - High,Z-Score,% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score,# Single-Parent Households,# Households,% Single-Parent Households,95% CI - Low,95% CI - High,Z-Score,# Associations,Association Rate,Z-Score,# Violent Crimes,Violent Crime Rate,Z-Score,# Injury Deaths,Injury Death Rate,95% CI - Low,95% CI - High,Z-Score,Average Daily PM2.5,Z-Score,Presence of violation,Z-Score,# Households with Severe Problems,% Severe Housing Problems,95% CI - Low,95% CI - High,Z-Score,% Drive Alone,95% CI - Low,95% CI - High,Z-Score,% Drive Alone (Black),% Drive Alone (Hispanic),% Drive Alone (White),# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low,95% CI - High,Z-Score
42000,Pennsylvania,,6900,6847,6952,,,,,15,14,16,,3.9,3.6,4.2,,4.3,4.0,4.6,,,8,8,8,,,,,18,17,19,,30,,,,8.2,,24,,,,68,,21,19,22,,1837,6103,30,29,31,,53460,418,,21,21,22,,,,,786343,8,7,8,,10395,81,1232:1,,8630,68,1481:1,,22883,179,559:1,,901922,52,51,52,,123915,86,86,87,,1,1,91755,64.8,64.3,65.3,,61.5,65.0,136228,85,,2004022,3149751,63.6,63.3,64.0,,351962,6471996,5.4,,18,18,19,,,,,108554,22675,4.8,,903596,2673370,34,33,34,,15535,12.1,,42505,333,,48341,76,75,76,,10.4,,,,766265,15,15,16,,76,76,77,,,,,4529634,36,36,36,
42001,Pennsylvania,Adams,5431,4909,5953,-1.40,6344,4489,5555,13,13,14,-0.68,3.5,3.3,3.6,-0.67,3.9,3.7,4.1,-0.49,,8,7,8,0.24,12,5,8,15,14,16,-0.74,31,26,36,-0.07,8.9,-1.67,24,19,29,-0.57,42,0.46,21,20,22,0.76,19,54,35,28,42,0.59,206,203,-0.30,21,19,22,-0.28,35,40,18,6309,8,7,9,0.13,51,50,2006:1,0.32,33,32,3096:1,0.93,71,69,1439:1,0.71,9200,44,40,48,-0.95,1219,88,83,93,-0.47,74,88,881,63.9,58.6,69.2,0.18,,,1096,92,-0.62,11924,22207,53.7,50.9,56.5,0.21,2223,55490,4.0,-1.76,14,11,17,-0.74,32,50,10,107149,28382,3.8,-1.18,5702,20579,28,24,31,-0.49,107,10.5,1.13,106,105,-0.73,315,62,55,69,-1.17,11.6,0.97,Yes,0.49,5110,13,12,15,0.05,83,82,84,0.58,66,78,81,41154,38,36,40,0.50
42003,Pennsylvania,Allegheny,7082,6909,7255,-0.02,12223,14317,6266,14,13,14,-0.35,3.5,3.4,3.6,-0.49,4.0,3.9,4.2,0.07,,8,8,8,0.27,13,7,6,17,16,17,0.57,28,27,30,-1.01,7.7,0.99,23,21,24,-0.99,88,-1.88,24,24,25,3.06,86,317,27,24,30,-0.31,5854,475,1.32,16,16,17,-0.80,48,16,9,58815,6,5,6,-1.26,1346,109,914:1,-0.79,1159,95,1057:1,-2.05,3376,276,363:1,-1.87,54233,56,54,58,-0.10,4932,81,79,84,1.73,74,83,4329,53.9,51.8,56.1,1.94,51.0,54.3,11499,89,-0.09,252915,322651,78.4,77.3,79.5,-2.17,34008,649725,5.2,-0.66,15,13,17,-0.57,45,27,9,110028,21481,5.1,1.88,74813,232672,32,31,33,0.14,1500,12.2,0.70,4937,401,1.36,5268,86,83,88,0.47,14.7,3.43,Yes,0.49,73995,14,14,14,0.24,72,72,73,-1.68,55,62,77,436933,38,38,39,0.51
42005,Pennsylvania,Armstrong,8126,7287,8964,0.85,,,,14,13,14,-0.40,3.6,3.4,3.8,-0.07,4.1,3.9,4.4,0.54,,7,6,8,-0.43,,,,15,15,16,-0.63,36,30,41,1.40,8.3,-0.34,30,24,35,1.31,33,0.92,19,18,20,-1.02,15,50,30,23,38,0.01,138,204,-0.29,26,23,29,0.45,,,,3781,7,6,8,-0.40,30,45,2235:1,0.41,22,33,3022:1,0.89,63,95,1055:1,0.39,3051,64,55,73,0.48,474,82,74,91,1.27,,,337,61.7,53.3,70.1,0.57,,,659,89,-0.15,8225,14901,55.2,51.9,58.5,0.06,2521,33354,7.6,1.42,20,15,24,0.04,,18,21,89080,20191,4.4,0.27,4008,13040,31,27,34,-0.06,140,20.9,-1.42,67,99,-0.78,333,99,88,109,1.35,11.2,0.66,Yes,0.49,3010,11,9,12,-0.95,82,81,84,0.46,,,,24027,43,40,45,0.98
42007,Pennsylvania,Beaver,7747,7239,8255,0.54,12992,15161,7287,14,13,14,-0.40,3.6,3.4,3.8,0.00,4.0,3.8,4.2,0.01,,7,7,8,-0.11,12,5,7,15,14,16,-0.86,28,24,32,-1.26,7.4,1.65,26,23,30,0.27,69,-0.91,20,19,21,0.05,17,59,29,22,36,-0.12,506,299,0.27,22,21,24,-0.03,50,32,19,7272,5,5,6,-1.62,77,46,2193:1,0.39,89,53,1881:1,-0.07,126,75,1329:1,0.63,7870,52,46,57,-0.41,968,83,77,88,1.22,71,84,766,53.8,48.6,59.0,1.97,38.1,54.7,3515,74,2.71,25396,38211,66.5,63.6,69.3,-1.02,5377,86003,6.3,0.25,16,12,19,-0.53,44,24,13,98940,22441,4.4,0.26,11176,32986,34,31,37,0.39,248,14.7,0.09,492,293,0.60,729,86,80,92,0.50,12.3,1.53,Yes,0.49,8020,11,11,12,-0.65,83,82,84,0.61,67,80,82,66714,36,34,37,0.23
42009,Pennsylvania,Bedford,7843,6875,8812,0.62,,,,14,14,15,-0.06,3.7,3.5,3.9,0.22,4.2,4.0,4.4,0.89,,4,4,5,-3.02,,,,16,15,17,-0.23,32,27,38,0.21,8.4,-0.56,26,21,31,0.05,42,0.48,19,18,19,-1.05,14,60,23,17,30,-0.73,76,155,-0.57,24,21,27,0.17,,,,3229,8,7,10,0.56,13,27,3737:1,0.75,24,50,2014:1,0.10,58,120,833:1,0.07,3197,63,54,72,0.42,571,86,79,94,0.06,,,398,66.8,58.8,74.9,-0.33,,,557,92,-0.68,5139,10612,48.4,44.7,52.1,0.71,1425,24137,5.9,-0.06,17,13,22,-0.27,,13,20,84276,20578,4.1,-0.45,2835,9945,29,24,33,-0.38,93,19.1,-1.00,83,171,-0.27,208,85,74,97,0.43,10.2,-0.14,Yes,0.49,2235,11,10,12,-0.76,81,79,83,0.21,,,,17575,35,33,37,0.15
42011,Pennsylvania,Berks,6228,5949,6507,-0.74,11328,6225,5932,16,16,17,1.25,3.8,3.6,3.9,0.51,4.2,4.0,4.4,0.84,,8,8,8,0.52,13,9,7,15,15,16,-0.50,32,28,36,0.12,8.8,-1.45,25,21,29,-0.21,69,-0.89,19,19,20,-0.42,64,199,32,29,36,0.25,1973,477,1.32,27,26,28,0.52,30,71,11,29080,9,8,9,0.64,275,66,1510:1,0.01,222,54,1869:1,-0.09,492,119,843:1,0.09,31961,47,44,49,-0.75,4411,88,86,91,-0.64,84,88,3145,64.2,61.4,67.0,0.14,61.8,64.2,5121,84,0.87,55752,98361,56.7,55.0,58.3,-0.08,10738,214132,5.0,-0.86,20,17,23,0.10,34,47,9,106556,23955,4.4,0.35,34481,93926,37,35,39,0.79,498,12.0,0.75,1317,319,0.78,1327,64,61,68,-1.01,11.3,0.74,Yes,0.49,25205,16,16,17,1.04,80,80,81,-0.01,67,63,84,156307,31,30,32,-0.24
42013,Pennsylvania,Blair,7718,7144,8291,0.51,15759,,7628,15,14,15,0.24,3.8,3.6,4.0,0.66,4.1,3.9,4.3,0.29,,7,7,8,-0.23,9,13,7,17,16,18,0.47,32,28,37,0.24,7.7,0.99,25,20,29,-0.31,60,-0.45,19,18,20,-0.68,32,101,32,27,37,0.20,277,220,-0.19,28,26,30,0.73,34,31,28,6281,6,6,7,-0.98,108,86,1163:1,-0.36,70,56,1781:1,-0.21,259,208,481:1,-1.03,8226,60,54,65,0.17,1354,84,80,89,0.61,79,85,858,57.0,51.9,62.0,1.40,,,1311,88,0.05,15926,29129,54.7,51.8,57.5,0.11,3249,61079,5.3,-0.59,21,16,25,0.21,56,34,20,86460,19367,4.5,0.39,8494,25770,33,30,36,0.26,223,17.8,-0.66,294,232,0.17,503,80,73,87,0.07,10.4,0.02,Yes,0.49,6420,13,12,14,-0.25,83,81,84,0.51,,67,84,46063,19,18,21,-1.52
42015,Pennsylvania,Bradford,7842,6990,8694,0.62,,,,15,14,15,0.33,3.7,3.5,3.9,0.37,4.1,3.8,4.3,0.15,,6,6,7,-1.12,,,,17,16,18,0.74,31,27,36,-0.07,8.2,-0.12,28,23,32,0.69,16,1.78,19,18,19,-1.04,21,64,33,26,39,0.33,123,199,-0.32,32,29,35,1.17,,,,3963,8,7,9,0.30,50,82,1226:1,-0.28,33,54,1842:1,-0.12,38,63,1599:1,0.79,6035,95,87,103,2.65,1051,88,82,93,-0.48,,,740,67.4,61.5,73.3,-0.44,,,705,89,-0.13,6253,13278,47.1,43.7,50.5,0.84,2006,30314,6.6,0.58,18,13,23,-0.17,28,14,18,93373,22070,4.2,-0.14,4152,13493,31,26,35,-0.05,85,13.9,0.29,106,169,-0.28,264,85,75,96,0.45,8.8,-1.25,Yes,0.49,2900,12,11,13,-0.48,80,79,82,0.02,,68,80,21023,32,30,34,-0.16
