,,,Premature death,,,,,,,Poor or fair health,,,,Poor physical health days,,,,Poor mental health days,,,,Low birthweight,,,,,,,,Adult smoking,,,,Adult obesity,,,,Food environment index,,Physical inactivity,,,,Access to exercise opportunities,,Excessive drinking,,,,Alcohol-impaired driving deaths,,,,,,Sexually transmitted infections,,,Teen births,,,,,,,Uninsured,,,,,Primary care physicians,,,,Dentists,,,,Mental health providers,,,,Preventable hospital stays,,,,,Diabetes monitoring,,,,,,,Mammography screening,,,,,,,High school graduation,,,Some college,,,,,,Unemployment,,,,Children in poverty,,,,,,,Income inequality,,,,Children in single-parent households,,,,,,Social associations,,,Violent crime,,,Injury deaths,,,,,Air pollution - particulate matter,,Drinking water violations,,Severe housing problems,,,,,Driving alone to work,,,,,,,Long commute - driving alone,,,,
FIPS,State,County,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,Years of Potential Life Lost Rate (Black),Years of Potential Life Lost Rate (Hispanic),Years of Potential Life Lost Rate (White),% Fair/Poor,95% CI - Low,95% CI - High,Z-Score,Physically Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Mentally Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Unreliable,% LBW,95% CI - Low,95% CI - High,Z-Score,% LBW (Black),% LBW (Hispanic),% LBW (White),% Smokers,95% CI - Low,95% CI - High,Z-Score,% Obese,95% CI - Low,95% CI - High,Z-Score,Food Environment Index,Z-Score,% Physically Inactive,95% CI - Low,95% CI - High,Z-Score,% With Access,Z-Score,% Excessive Drinking,95% CI - Low,95% CI - High,Z-Score,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Alcohol-Impaired,95% CI - Low,95% CI - High,Z-Score,# Chlamydia Cases,Chlamydia Rate,Z-Score,Teen Birth Rate,95% CI - Low,95% CI - High,Z-Score,Teen Birth Rate (Black),Teen Birth Rate (Hispanic),Teen Birth Rate (White),# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Z-Score,# Primary Care Physicians,PCP Rate,PCP Ratio,Z-Score,# Dentists,Dentist Rate,Dentist Ratio,Z-Score,# Mental Health Providers,MHP Rate,MHP Ratio,Z-Score,# Medicare Enrollees,Preventable Hosp. Rate,95% CI - Low,95% CI - High,Z-Score,# Diabetics,% Receiving HbA1c,95% CI - Low,95% CI - High,Z-Score,% Receiving HbA1c (Black),% Receiving HbA1c (White),# Medicare Enrollees,% Mammography,95% CI - Low,95% CI - High,Z-Score,% Mammography (Black),% Mammography (White),Cohort Size,Graduation Rate,Z-Score,# Some College,Population,% Some College,95% CI - Low,95% CI - High,Z-Score,# Unemployed,Labor Force,% Unemployed,Z-Score,% Children in Poverty,95% CI - Low,95% CI - High,Z-Score,% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score,# Single-Parent Households,# Households,% Single-Parent Households,95% CI - Low,95% CI - High,Z-Score,# Associations,Association Rate,Z-Score,# Violent Crimes,Violent Crime Rate,Z-Score,# Injury Deaths,Injury Death Rate,95% CI - Low,95% CI - High,Z-Score,Average Daily PM2.5,Z-Score,Presence of violation,Z-Score,# Households with Severe Problems,% Severe Housing Problems,95% CI - Low,95% CI - High,Z-Score,% Drive Alone,95% CI - Low,95% CI - High,Z-Score,% Drive Alone (Black),% Drive Alone (Hispanic),% Drive Alone (White),# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low,95% CI - High,Z-Score
48000,Texas,,6675,6641,6708,,,,,18,17,20,,3.5,3.3,3.8,,3.4,3.1,3.7,,,8,8,8,,,,,14,13,15,,28,,,,6.0,,24,,,,81,,19,18,21,,5013,17691,28,28,29,,141158,524,,41,41,41,,,,,4536765,19,19,19,,16447,60,1670:1,,15562,56,1790:1,,27523,99,1012:1,,1497806,53,53,54,,250904,84,83,84,,1,1,164920,57.9,57.6,58.3,,57.4,58.0,,89,,4564201,7558237,60.4,60.1,60.6,,612837,13284651,4.6,,22,22,23,,,,,111803,22757,4.9,,2358262,7076774,33,33,34,,20998,7.6,,107963,408,,73926,55,54,55,,8.0,,,,1653220,18,18,18,,80,80,80,,,,,9830530,37,37,37,
48001,Texas,Anderson,10119,9289,10949,0.98,10233,12461,9707,20,19,20,-0.07,3.9,3.8,4.1,0.24,3.6,3.5,3.8,-0.02,,8,7,8,-0.42,12,5,7,18,18,19,1.71,33,27,40,1.47,5.7,1.19,27,21,33,-0.26,34,1.01,19,18,19,0.36,12,57,21,14,28,-0.28,205,356,-0.18,54,50,59,0.29,58,67,48,6917,19,17,21,-0.43,20,35,2879:1,0.32,21,36,2749:1,-0.22,24,42,2406:1,0.23,3689,57,49,65,-0.36,766,84,78,91,-0.38,74,86,455,58.7,51.6,65.7,-0.73,67.7,58.0,,91,0.29,7168,18741,38.2,35.1,41.4,1.19,1018,23751,4.3,-0.50,24,18,31,-0.12,39,44,15,82783,18618,4.4,-0.41,3809,11135,34,28,40,0.25,61,10.6,0.48,187,320,0.38,218,75,65,85,-0.02,9.2,0.71,No,-1.32,2550,15,13,18,0.27,85,82,88,0.95,76,84,87,16394,24,21,28,-0.39
48003,Texas,Andrews,8133,6666,9600,-0.10,,7129,10359,17,17,18,-0.50,3.3,3.2,3.4,-1.19,3.2,3.1,3.3,-1.94,,6,5,8,-1.23,,6,8,13,13,14,-1.45,29,21,37,-0.35,8.2,-1.03,27,20,35,-0.16,71,-0.52,21,20,22,1.75,22,53,42,35,48,1.36,69,395,0.02,72,64,80,1.37,,85,51,3177,20,17,22,-0.33,7,39,2586:1,0.16,4,23,4440:1,0.46,2,11,8880:1,0.89,989,58,43,73,-0.30,155,77,63,91,1.15,,,103,50.5,36.8,64.2,0.30,,,,96,-0.48,1913,4594,41.6,33.1,50.1,0.86,417,8639,4.8,-0.22,15,11,20,-1.24,,14,5,122272,29636,4.1,-0.90,1059,5206,20,13,28,-1.45,12,6.6,1.10,96,579,1.96,76,88,69,110,0.54,7.2,-0.83,Yes,0.75,615,11,8,15,-0.70,78,74,82,-0.42,,73,84,6113,26,20,33,-0.23
48005,Texas,Angelina,8802,8111,9494,0.26,13478,4706,9058,23,23,24,0.65,4.2,4.1,4.4,0.92,4.1,3.9,4.2,1.82,,9,8,9,0.33,14,8,7,18,18,19,1.59,40,36,44,4.33,6.1,0.84,33,29,36,1.88,73,-0.63,18,18,19,0.15,18,91,20,15,25,-0.39,482,549,0.80,50,47,53,0.01,51,58,46,15867,22,20,24,0.23,55,62,1605:1,-0.78,40,46,2195:1,-0.68,108,123,813:1,-1.56,6812,53,48,59,-0.56,1262,81,76,86,0.27,79,81,725,62.2,56.5,67.9,-1.17,54.2,62.9,,92,0.07,11724,21789,53.8,49.7,57.9,-0.33,2198,36713,6.0,0.38,27,21,33,0.16,49,38,19,83568,18280,4.6,-0.22,9155,22764,40,36,45,0.99,98,11.1,0.40,304,344,0.53,293,67,59,74,-0.40,9.3,0.79,Yes,0.75,5130,17,15,18,0.58,82,80,84,0.32,77,80,85,28432,15,13,17,-1.13
48007,Texas,Aransas,11304,9623,12985,1.63,,8738,12762,20,19,20,-0.07,3.9,3.7,4.0,0.08,3.7,3.6,3.9,0.41,,10,9,12,1.44,,9,11,16,15,16,-0.02,30,24,37,0.17,5.9,1.01,28,20,36,0.19,90,-1.32,16,16,17,-0.96,2,17,12,2,27,-1.03,159,637,1.24,51,44,58,0.10,,68,40,3946,22,19,24,0.19,15,59,1690:1,-0.65,8,31,3215:1,0.04,19,74,1354:1,-0.48,2701,36,28,43,-1.44,464,90,81,98,-1.50,,,322,72.7,63.4,82.0,-2.49,,,,91,0.24,2176,4569,47.6,38.2,57.0,0.28,574,10016,5.7,0.25,33,24,42,0.94,,22,33,103852,19579,5.3,0.90,1276,4477,29,18,39,-0.45,20,7.9,0.90,76,314,0.34,132,106,88,124,1.35,7.7,-0.45,No,-1.32,1520,16,12,20,0.40,81,76,86,0.16,,82,77,7577,27,21,33,-0.18
48009,Texas,Archer,7522,5193,9851,-0.44,,,,13,13,14,-1.30,3.2,3.0,3.4,-1.43,3.4,3.2,3.6,-1.05,,8,5,10,-0.36,,,,14,13,15,-1.02,27,21,35,-0.96,7.4,-0.32,25,18,33,-0.85,23,1.50,20,19,21,1.06,11,19,58,48,66,2.68,116,1317,3.00,28,21,36,-1.30,,60,25,1241,18,16,19,-0.79,,,,0.00,,,,0.00,1,11,8703:1,0.89,2258,52,42,61,-0.63,126,87,70,100,-0.86,,,59,72.9,51.1,94.7,-2.51,,,,99,-0.96,1159,1848,62.7,53.8,71.7,-1.19,181,4074,4.4,-0.42,14,11,18,-1.39,,22,7,107583,26328,4.1,-0.96,274,1928,14,7,21,-2.20,11,12.6,0.16,11,155,-0.63,39,89,64,122,0.60,8.0,-0.21,Yes,0.75,330,10,7,13,-1.05,87,84,90,1.30,,,,3708,21,17,25,-0.64
48011,Texas,Armstrong,,,,0.00,,,,12,11,12,-1.59,3.0,2.9,3.1,-1.97,3.3,3.1,3.4,-1.60,x,8,,,-0.04,,,,13,12,13,-1.93,29,22,37,-0.18,6.3,0.66,26,19,36,-0.30,3,2.36,20,20,21,1.19,2,7,29,9,50,0.32,33,1688,3.00,37,,,-0.73,,,,273,18,16,20,-0.67,0,0,1947:0,1.71,0,0,1876:0,1.58,,,,0.00,,,,,0.00,30,83,51,100,-0.20,,,,,,,0.00,,,,96,-0.57,257,363,70.8,54.6,87.0,-1.98,27,973,2.8,-1.28,16,12,20,-1.20,,,,121917,27175,4.5,-0.35,77,433,18,5,31,-1.76,4,20.5,-1.08,3,136,-0.75,16,165,95,269,3.00,6.8,-1.14,No,-1.32,45,7,3,11,-1.81,70,63,77,-1.89,,,,641,47,35,58,1.36
48013,Texas,Atascosa,8908,7952,9864,0.32,,8943,8813,22,22,23,0.49,4.0,3.8,4.1,0.29,3.5,3.4,3.7,-0.45,,8,8,9,0.12,,9,8,14,14,15,-0.83,30,23,37,0.08,8.6,-1.39,33,25,42,2.09,42,0.68,18,17,19,0.01,10,68,15,9,21,-0.80,217,454,0.32,50,46,54,0.03,,55,39,7750,19,17,21,-0.51,11,23,4403:1,0.80,18,37,2711:1,-0.25,18,37,2711:1,0.33,2668,68,58,79,0.21,568,82,75,90,-0.01,,,326,49.7,42.0,57.3,0.40,,,,94,-0.21,5313,11845,44.9,39.1,50.6,0.55,1127,21133,5.3,0.04,25,18,32,-0.07,,28,11,101785,22963,4.4,-0.43,5108,13358,38,31,46,0.74,38,7.8,0.91,83,177,-0.50,163,68,58,79,-0.33,8.8,0.40,No,-1.32,2520,17,14,19,0.58,78,75,82,-0.33,,76,81,15288,47,42,52,1.37
48015,Texas,Austin,7121,5966,8277,-0.66,19760,4083,6697,17,16,17,-0.58,3.4,3.3,3.6,-0.90,3.6,3.4,3.7,-0.35,,8,7,9,-0.36,14,7,7,14,14,15,-0.76,29,23,36,-0.44,7.7,-0.59,26,20,34,-0.33,66,-0.33,18,18,19,0.24,6,33,18,10,28,-0.52,79,271,-0.60,36,31,40,-0.82,68,48,22,4292,18,16,20,-0.74,7,24,4223:1,0.76,11,37,2705:1,-0.25,8,27,3720:1,0.55,3145,46,39,54,-0.91,452,88,79,96,-1.13,86,88,352,52.0,44.5,59.5,0.11,,,,96,-0.48,3883,6470,60.0,52.3,67.7,-0.93,753,14128,5.3,0.04,22,18,26,-0.42,,44,9,107441,22503,4.8,0.09,2058,7090,29,21,37,-0.38,38,12.9,0.13,70,240,-0.11,115,79,64,93,0.13,9.3,0.79,Yes,0.75,1325,12,10,15,-0.48,80,76,83,-0.11,,88,76,10561,40,34,45,0.80
